id,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
538,A,A,A,A,A,A,A,A,A,A
539,A,A,A,A,A,A,A,A,A,A
540,A,A,A,A,A,A,A,A,A,A
541,A,A,A,A,A,A,A,A,A,A
542,A,A,A,A,A,A,A,A,A,A
543,A,A,A,A,A,A,A,A,A,A
544,A,A,A,A,A,A,A,A,A,A
545,A,A,A,A,A,A,A,A,A,A
546,A,A,A,A,A,A,A,A,A,A
547,A,A,A,A,A,A,A,A,A,A
548,A,A,A,A,A,A,A,A,A,A
549,A,A,A,A,A,A,A,A,A,A
550,A,A,A,A,A,A,A,A,A,A
551,A,A,A,A,A,A,A,A,A,A
552,A,A,A,A,A,A,A,A,A,A
553,A,A,A,A,A,A,A,A,A,A
554,A,A,A,A,A,A,A,A,A,A
555,A,A,A,A,A,A,A,A,A,A
556,A,A,A,A,A,A,A,A,A,A
557,A,A,A,A,A,A,A,A,A,A
558,A,A,A,A,A,A,A,A,A,A
559,A,A,A,A,A,A,A,A,A,A
560,A,A,A,A,A,A,A,A,A,A
561,A,A,A,A,A,A,A,A,A,A
562,A,A,A,A,A,A,A,A,A,A
563,A,A,A,A,A,A,A,A,A,A
564,A,A,A,A,A,A,A,A,A,A
565,A,A,A,A,A,A,A,A,A,A
566,A,A,A,A,A,A,A,A,A,A
567,A,A,A,A,A,A,A,A,A,A
568,A,A,A,A,A,A,A,A,A,A
569,A,A,A,A,A,A,A,A,A,A
570,A,A,A,A,A,A,A,A,A,A
571,A,A,A,A,A,A,A,A,A,A
572,A,A,A,A,A,A,A,A,A,A
573,A,A,A,A,A,A,A,A,A,A
574,A,A,A,A,A,A,A,A,A,A
575,A,A,A,A,A,A,A,A,A,A
576,A,A,A,A,A,A,A,A,A,A
577,A,A,A,A,A,A,A,A,A,A
578,A,A,A,A,A,A,A,A,A,A
579,A,A,A,A,A,A,A,A,A,A
580,A,A,A,A,A,A,A,A,A,A
581,A,A,A,A,A,A,A,A,A,A
582,A,A,A,A,A,A,A,A,A,A
583,A,A,A,A,A,A,A,A,A,A
584,A,A,A,A,A,A,A,A,A,A
585,A,A,A,A,A,A,A,A,A,A
586,A,A,A,A,A,A,A,A,A,A
587,A,A,A,A,A,A,A,A,A,A
588,A,A,A,A,A,A,A,A,A,A
589,A,A,A,A,A,A,A,A,A,A
590,A,A,A,A,A,A,A,A,A,A
591,A,A,A,A,A,A,A,A,A,A
592,A,A,A,A,A,A,A,A,A,A
593,A,A,A,A,A,A,A,A,A,A
594,A,A,A,A,A,A,A,A,A,A
595,A,A,A,A,A,A,A,A,A,A
596,A,A,A,A,A,A,A,A,A,A
597,A,A,A,A,A,A,A,A,A,A
598,A,A,A,A,A,A,A,A,A,A
599,A,A,A,A,A,A,A,A,A,A
600,A,A,A,A,A,A,A,A,A,A
601,A,A,A,A,A,A,A,A,A,A
602,A,A,A,A,A,A,A,A,A,A
603,A,A,A,A,A,A,A,A,A,A
604,A,A,A,A,A,A,A,A,A,A
605,A,A,A,A,A,A,A,A,A,A
606,A,A,A,A,A,A,A,A,A,A
607,A,A,A,A,A,A,A,A,A,A
608,A,A,A,A,A,A,A,A,A,A
609,A,A,A,A,A,A,A,A,A,A
610,A,A,A,A,A,A,A,A,A,A
611,A,A,A,A,A,A,A,A,A,A
612,A,A,A,A,A,A,A,A,A,A
613,A,A,A,A,A,A,A,A,A,A
614,A,A,A,A,A,A,A,A,A,A
615,A,A,A,A,A,A,A,A,A,A
616,A,A,A,A,A,A,A,A,A,A
617,A,A,A,A,A,A,A,A,A,A
618,A,A,A,A,A,A,A,A,A,A
619,A,A,A,A,A,A,A,A,A,A
620,A,A,A,A,A,A,A,A,A,A
621,A,A,A,A,A,A,A,A,A,A
622,A,A,A,A,A,A,A,A,A,A
623,A,A,A,A,A,A,A,A,A,A
624,A,A,A,A,A,A,A,A,A,A
625,A,A,A,A,A,A,A,A,A,A
626,A,A,A,A,A,A,A,A,A,A
627,A,A,A,A,A,A,A,A,A,A
628,A,A,A,A,A,A,A,A,A,A
629,A,A,A,A,A,A,A,A,A,A
630,A,A,A,A,A,A,A,A,A,A
631,A,A,A,A,A,A,A,A,A,A
632,A,A,A,A,A,A,A,A,A,A
633,A,A,A,A,A,A,A,A,A,A
634,A,A,A,A,A,A,A,A,A,A
635,A,A,A,A,A,A,A,A,A,A
636,A,A,A,A,A,A,A,A,A,A
637,A,A,A,A,A,A,A,A,A,A
638,A,A,A,A,A,A,A,A,A,A
639,A,A,A,A,A,A,A,A,A,A
640,A,A,A,A,A,A,A,A,A,A
641,A,A,A,A,A,A,A,A,A,A
642,A,A,A,A,A,A,A,A,A,A
643,A,A,A,A,A,A,A,A,A,A
644,A,A,A,A,A,A,A,A,A,A
645,A,A,A,A,A,A,A,A,A,A
646,A,A,A,A,A,A,A,A,A,A
647,A,A,A,A,A,A,A,A,A,A
648,A,A,A,A,A,A,A,A,A,A
649,A,A,A,A,A,A,A,A,A,A
650,A,A,A,A,A,A,A,A,A,A
651,A,A,A,A,A,A,A,A,A,A
652,L,L,L,L,L,L,L,L,L,L
653,A,A,A,A,A,A,A,A,A,A
654,A,A,A,A,A,A,A,A,A,A
655,A,A,A,A,A,A,A,A,A,A
656,A,A,A,A,A,A,A,A,A,A
657,A,A,A,A,A,A,A,A,A,A
658,A,A,A,A,A,A,A,A,A,A
659,A,A,A,A,A,A,A,A,A,A
660,A,A,A,A,A,A,A,A,A,A
661,A,A,A,A,A,A,A,A,A,A
662,A,A,A,A,A,A,A,A,A,A
663,A,A,A,A,A,A,A,A,A,A
664,A,A,A,A,A,A,A,A,A,A
665,A,A,A,A,A,A,A,A,A,A
